date,frcc,tocc,trdval,finval
20030331,TR,GR,109665192.0,109665192.0
20030331,AT,IE,-36732784.0,-36732784.0
20030331,CH,PT,52724519.0,52724519.0
20030331,SE,HU,29201458.0,29201458.0
20030331,AU,GB,579491438.0,579491438.0
20030331,JP,BE,959507332.0,959507332.0
20030331,IT,SK,-13782393.0,-13782393.0
20030331,CA,ES,-49937582.0,-49937582.0
20030331,US,IL,-1566400000.0,-1566400000.0
20030331,GB,FI,-460167126.0,-460167126.0
20030331,NO,IL,4588168.0,4588168.0
20030331,IE,BE,2005912343.0,2005912343.0
20030331,LU,CA,-1078185.0,-1078185.0
20030331,US,DK,-481500000.0,-481500000.0
20030331,ES,PT,2016118845.0,2016118845.0
20030331,PT,NO,-133937294.0,-133937294.0
20030331,AU,CZ,-7370768.0,-7370768.0
20030331,DK,ES,272759038.0,272759038.0
20030331,LU,PT,14365437.0,14365437.0
20030331,FR,PL,435923351.0,435923351.0
20030331,NO,US,713202514.0,713202514.0
20030331,AU,SK,-39162.0,-39162.0
20030331,NL,FR,4228249507.0,4228249507.0
20030331,US,KR,-2669800000.0,-2669800000.0
20030331,TR,GB,-38602769.0,-38602769.0
20030331,TR,LV,5606074.0,5606074.0
20030331,BE,SE,-355965529.0,-355965529.0
20030331,FI,IL,17406469.0,17406469.0
20030331,LU,CH,32598457.0,32598457.0
20030331,NO,LV,1348970.0,1348970.0
20030331,JP,HU,146261967.0,146261967.0
20030331,LU,DE,-183230400.0,-183230400.0
20030331,ES,DE,-3596550972.0,-3596550972.0
20030331,CA,CL,-101125136.0,-101125136.0
20030331,IE,LU,17619988.0,17619988.0
20030331,KR,AT,1733754.0,1733754.0
20030331,BE,AT,349976419.0,349976419.0
20030331,AU,CL,4717303.0,4717303.0
20030331,DK,TR,-64035419.0,-64035419.0
20030331,CH,FR,-277457219.0,-277457219.0
20030331,DE,IE,-935973878.0,-935973878.0
20030331,IE,MX,81169952.0,81169952.0
20030331,LU,ES,82988330.0,82988330.0
20030331,BE,NL,-2297575467.0,-2297575467.0
20030331,LU,NL,-59008747.0,-59008747.0
20030331,US,FR,-2592000000.0,-2592000000.0
20030331,NO,DK,-160524664.0,-160524664.0
20030331,FI,GR,85340273.0,85340273.0
20030331,GB,SI,-17322044.0,-17322044.0
20030331,NL,NO,-1110631357.0,-1110631357.0
20030331,IE,PT,36939193.0,36939193.0
20030331,NO,SE,-123064824.0,-123064824.0
20030331,ES,EE,7662571.0,7662571.0
20030331,IT,IE,-575609863.0,-575609863.0
20030331,KR,PT,44823508.0,44823508.0
20030331,US,CA,-15314800000.0,-15314800000.0
20030331,FI,DK,-319083283.0,-319083283.0
20030331,PT,LV,-3419123.0,-3419123.0
20030331,FR,ES,2097141305.0,2097141305.0
20030331,ES,GR,187343506.0,187343506.0
20030331,FI,NL,-34982047.0,-34982047.0
20030331,FI,PT,27031168.0,27031168.0
20030331,LU,FR,136043031.0,136043031.0
20030331,ES,NO,-174908280.0,-174908280.0
20030331,BE,LV,14875476.0,14875476.0
20030331,TR,CH,-578619114.0,-578619114.0
20030331,BE,KR,-95580488.0,-95580488.0
20030331,US,TR,-242400000.0,-242400000.0
20030331,US,SK,-57100000.0,-57100000.0
20030331,IT,GB,1435027336.0,1435027336.0
20030331,IT,PL,455242062.0,455242062.0
20030331,NO,FR,1124091746.0,1124091746.0
20030331,GB,GR,213013123.0,213013123.0
20030331,SE,PL,-34159281.0,-34159281.0
20030331,SE,LV,-14395035.0,-14395035.0
20030331,NL,IE,-139834726.0,-139834726.0
20030331,GB,TR,-380827448.0,-380827448.0
20030331,DK,HU,-264699.0,-264699.0
20030331,PT,CA,12674882.0,12674882.0
20030331,PT,FR,-33477642.0,-33477642.0
20030331,TR,CZ,-47854735.0,-47854735.0
20030331,KR,TR,247106082.0,247106082.0
20030331,CA,SI,-1459145.0,-1459145.0
20030331,IE,AT,33398260.0,33398260.0
20030331,CA,AT,-129427023.0,-129427023.0
20030331,CH,IE,-906115927.0,-906115927.0
20030331,ES,BE,-579426701.0,-579426701.0
20030331,ES,HU,26631663.0,26631663.0
20030331,US,LV,-174900000.0,-174900000.0
20030331,MX,GB,-97379220.0,-97379220.0
20030331,LU,PL,15947153.0,15947153.0
20030331,KR,ES,309076977.0,309076977.0
20030331,FI,TR,31936009.0,31936009.0
20030331,CL,FR,37132598.0,37132598.0
20030331,IE,CH,772731151.0,772731151.0
20030331,SE,CH,84328160.0,84328160.0
20030331,DE,AU,782677570.0,782677570.0
20030331,CL,IT,119196090.0,119196090.0
20030331,KR,FR,-172217797.0,-172217797.0
20030331,KR,CA,123514002.0,123514002.0
20030331,FI,US,322048428.0,322048428.0
20030331,NO,CA,420041134.0,420041134.0
20030331,JP,FI,41539070.0,41539070.0
20030331,FI,CA,103821518.0,103821518.0
20030331,IT,FI,-25238958.0,-25238958.0
20030331,IT,LV,38798873.0,38798873.0
20030331,JP,CH,-393624254.0,-393624254.0
20030331,AT,CL,1896915.0,1896915.0
20030331,JP,ES,495014745.0,495014745.0
20030331,PT,PL,-64748528.0,-64748528.0
20030331,IT,FR,736589843.0,736589843.0
20030331,CL,MX,85927683.0,85927683.0
20030331,DK,SI,-13537195.0,-13537195.0
20030331,JP,NL,2341848691.0,2341848691.0
20030331,DK,GR,85532519.0,85532519.0
20030331,CA,US,20225332070.0,20225332070.0
20030331,JP,GB,1890727661.0,1890727661.0
20030331,AT,KR,2695296.0,2695296.0
20030331,AU,PL,-15845612.0,-15845612.0
20030331,GB,KR,-411932772.0,-411932772.0
20030331,LU,KR,-2396400.0,-2396400.0
20030331,DK,CA,138691259.0,138691259.0
20030331,SE,FR,228675323.0,228675323.0
20030331,NL,TR,52782922.0,52782922.0
20030331,PT,BE,30487432.0,30487432.0
20030331,CA,IT,-551437887.0,-551437887.0
20030331,MX,DE,-1179113300.0,-1179113300.0
20030331,KR,PL,62542535.0,62542535.0
20030331,SE,KR,-17791848.0,-17791848.0
